file_type,file_type_desc,is_primary_key,column_name,data_type,max_size,is_null,description
M,Advisor,Y,FIN_INST_ID,Num,4,N,Financial Institution Name Id
M,Advisor,Y,ADVISOR_TAX_ID,Char,9,N,Advisor SSN
M,Advisor,,UNUSED,N/A,2,Y,This field is no longer used
M,Advisor,,NAME_PREFIX,Char,10,Y,"Name Prefix. Mr, Mrs etc"
M,Advisor,,LAST_NAME,Char,20,Y,Last Name
M,Advisor,,FIRST_NAME,Char,20,Y,First Name
M,Advisor,,MIDDLE_NAME,Char,20,Y,Middle Name
M,Advisor,,NAME_SUFFIX,Char,35,Y,Name Suffix
M,Advisor,,ADV_ADDR_LINE1,Char,100,Y,Address Line 1
M,Advisor,,ADV_ADDR_LINE2,Char,100,Y,Address Line 2
M,Advisor,,CITY,Char,30,Y,City
M,Advisor,,STATE,Char,2,Y,State
M,Advisor,,ZIP_CODE,Char,10,Y,Zip Code
M,Advisor,,COUNTRY,Char,20,Y,Country (currently not in use)
M,Advisor,,UNUSED,N/A,9,Y,This field is no longer used
M,Advisor,,BUSINESS_PHONE,Char,20,Y,Business Phone Num
M,Advisor,,HOME_PHONE,Char,20,Y,Home Phone Num
M,Advisor,,FAX,Char,20,Y,Fax Num
M,Advisor,,OTHER_PHONE,Char,20,Y,Alternate Phone Num
M,Advisor,,BUSINESS_NAME,Char,125,Y,Business Name
M,Advisor,,UNUSED,N/A,9,Y,This field is no longer used
M,Advisor,,ACCT_METHOD,Char,4,Y,"Cost Basis Method – FIFO, LIFO, AVG"
M,Advisor,,ADVISOR_NAME,Char,85,Y,Advisor Name
M,Advisor,,BIRTHDATE,Char,8,Y,Advisor Birth Date
M,Advisor,,PROF_TITLE,Char,30,Y,Advisor Professional Title
M,Advisor,,ACTION_FLAG,Char,1,N,"A=Add, D=Delete, U=Update"
N,Advisor Rep Nums,Y,ADVISOR_REP_NUM,Char,9,N,Advisor Rep Num
N,Advisor Rep Nums,Y,FIN_INST_ID,Num,4,N,Financial Institution Name Id
N,Advisor Rep Nums,Y,INT_TYPE,Num,3,N,Data Source Interface Type Code. See Appendix
N,Advisor Rep Nums,Y,VA_CODE,Char,20,N,Alias attribute used for many VAs and Managed Asset accounts
N,Advisor Rep Nums,Y,ADVISOR_TAX_ID,Char,9,N,Advisor SSN
N,Advisor Rep Nums,,ACTION_FLAG,Char,1,N,"A=Add, D=Delete, U=Update"
F,Master Asset,Y,FUND_ID,Char,22,N,"Fund or Asset ID, CUSIP Number"
F,Master Asset,,MGT_CODE,Char,20,Y,Management Code
F,Master Asset,,FUND_NAME,Char,100,Y,Asset Name
F,Master Asset,,TICKER,Char,30,Y,Asset Ticker Id
F,Master Asset,,MGT_NAME,Char,45,Y,Management Name (MF=Fund Family/VA=Ins Co)
F,Master Asset,,PRODUCT_CODE,Char,38,Y,CURRENTLY NOT RECOMMENDED FOR USE -Product Name
F,Master Asset,,SEC_TYPE,Char,2,Y,Security Type – See Appendix for List
F,Master Asset,,OBJECTIVE,Char,60,Y,Asset Objective (currently not in use)
F,Master Asset,,FUND_TYPE,Char,60,Y,Asset Type (currently not in use)
F,Master Asset,Y,FUND_CODE,Char,15,Y,DST Specific Fund_Code (this field is an extra option)
F,Master Asset,,SHARE_CLASS,Char,2,Y,"Class of Shares (A, B, etc.) of fund (even if FUND_CODE is not being delivered the extra delimiter will be output and should be taken into account) Note: Share Class not provided by all Interfaces."
F,Master Asset,,MATURITY,Char,8,Y,Used on bonds to identify when the bond will mature.
F,Master Asset,,COUP_RATE,Number,"7,3",Y,Coupon rate of the bond
