file_type,file_type_desc,is_primary_key,column_name,data_type,max_size,is_null,description
M,Advisor,Y,FIN_INST_ID,Num,4,N,Financial Institution Name Id
M,Advisor,Y,ADVISOR_TAX_ID,Char,9,N,Advisor SSN
M,Advisor,,UNUSED,N/A,2,Y,This field is no longer used
M,Advisor,,NAME_PREFIX,Char,10,Y,"Name Prefix. Mr, Mrs etc"
M,Advisor,,LAST_NAME,Char,20,Y,Last Name
M,Advisor,,FIRST_NAME,Char,20,Y,First Name
M,Advisor,,MIDDLE_NAME,Char,20,Y,Middle Name
M,Advisor,,NAME_SUFFIX,Char,35,Y,Name Suffix
M,Advisor,,ADV_ADDR_LINE1,Char,100,Y,Address Line 1
M,Advisor,,ADV_ADDR_LINE2,Char,100,Y,Address Line 2
M,Advisor,,CITY,Char,30,Y,City
M,Advisor,,STATE,Char,2,Y,State
M,Advisor,,ZIP_CODE,Char,10,Y,Zip Code
M,Advisor,,COUNTRY,Char,20,Y,Country (currently not in use)
M,Advisor,,UNUSED,N/A,9,Y,This field is no longer used
M,Advisor,,BUSINESS_PHONE,Char,20,Y,Business Phone Num
M,Advisor,,HOME_PHONE,Char,20,Y,Home Phone Num
M,Advisor,,FAX,Char,20,Y,Fax Num
M,Advisor,,OTHER_PHONE,Char,20,Y,Alternate Phone Num
M,Advisor,,BUSINESS_NAME,Char,125,Y,Business Name
M,Advisor,,UNUSED,N/A,9,Y,This field is no longer used
M,Advisor,,ACCT_METHOD,Char,4,Y,"Cost Basis Method – FIFO, LIFO, AVG"
M,Advisor,,ADVISOR_NAME,Char,85,Y,Advisor Name
M,Advisor,,BIRTHDATE,Char,8,Y,Advisor Birth Date
M,Advisor,,PROF_TITLE,Char,30,Y,Advisor Professional Title
M,Advisor,,ACTION_FLAG,Char,1,N,"A=Add, D=Delete, U=Update"
N,Advisor Rep Nums,Y,ADVISOR_REP_NUM,Char,9,N,Advisor Rep Num
N,Advisor Rep Nums,Y,FIN_INST_ID,Num,4,N,Financial Institution Name Id
N,Advisor Rep Nums,Y,INT_TYPE,Num,3,N,Data Source Interface Type Code. See Appendix
N,Advisor Rep Nums,Y,VA_CODE,Char,20,N,Alias attribute used for many VAs and Managed Asset accounts
N,Advisor Rep Nums,Y,ADVISOR_TAX_ID,Char,9,N,Advisor SSN
N,Advisor Rep Nums,,ACTION_FLAG,Char,1,N,"A=Add, D=Delete, U=Update"
A,Account,Y,SSN_TIN,Char,23,N,Investor's SSN or Tax Identification Number
A,Account,Y,ACCT_NUMBER,Char,20,N,Account Number
A,Account,,FIN_INST_ID,Num,4,N,Financial Institution Name Id
A,Account,,ACCT_TITLE,Char,280,Y,Account Registration
A,Account,,ACCOUNT_TYPE,Char,60,Y,Account Type
A,Account,,UNUSED,N/A,2,Y,This field is no longer used
A,Account,,ACCT_NAME,Char,280,Y,Account Name
A,Account,,ADVISOR_REP_NUM,Char,9,Y,Advisor's Rep Num
A,Account,,INT_TYPE,Num,3,N,Data Source Interface Type Code.
A,Account,,VA_CODE,Char,20,N,Alias attribute used for many VAs and Managed Asset accounts
A,Account,,VIEWABLE,Char,1,N,"Viewable Flag. „Y‟- Viewable, „N‟- Not Viewable, „S‟- Suppressed – Manually applied at Rep or BD request."
A,Account,,SRC_TYPE,Char,1,Y,"Account Source Type: „C‟ – Core from Data Source. Manual Accts: „A‟ – Advisor, „F‟ – FI, „I‟ – Investor"
A,Account,,ACCT_METHOD,Char,4,Y,"Cost Basis Acct Method –FIFO (default), LIFO, AVG"
