Source File Description,Business Name,Record Number,table_name,file_title,Source Field PIC,Source Field Length,SourceField Pos,Source Field Start Pos,Source Field End Pos,On-Line Source Screen,Online Source Field,Format,Version,Change Notes,Source File_Update Date,Notes,Data Dictionary_Update Date,Clearing
Account Balance Transmission,RECORD NUMBER,Header,,,PIC X(01),1,1-Jan,1,1,,,AN,5.1.3,06/22/2022 - Updated CASH MONEY MARKETS Business Definition,6/22/2022,,11/17/2015,TRUE
Account Balance Transmission,HEADER RECORD CLIENT ID,Header,,,PIC X(03),3,4-Feb,2,4,BBIF DISP,SUPEROFFICE,AN,5.1.3,06/22/2022 - Updated CASH MONEY MARKETS Business Definition,6/22/2022,,1/1/2001,TRUE
Account Balance Transmission,FILLER,Header,,,PIC X(17),17,21-May,5,21,,,AN,5.1.3,06/22/2022 - Updated CASH MONEY MARKETS Business Definition,6/22/2022,,1/1/2001,TRUE
Account Balance Transmission,FILE ORIGIN,Header,,,PIC X(16),16,22-37,22,37,NOT DISPLAYED,,AN,5.1.3,06/22/2022 - Updated CASH MONEY MARKETS Business Definition,6/22/2022,,1/1/2001,TRUE
Account Balance Transmission,FILLER,Header,,,PIC X(04),4,38-41,38,41,,,AN,5.1.3,06/22/2022 - Updated CASH MONEY MARKETS Business Definition,6/22/2022,,1/1/2001,TRUE
Account Balance Transmission,FILE TITLE,Header,account_balance,ACCOUNT BALANCE,PIC X(17),17,42-58,42,58,NOT DISPLAYED,,AN,5.1.3,06/22/2022 - Updated CASH MONEY MARKETS Business Definition,6/22/2022,,1/1/2001,TRUE
Account Balance Transmission,FILLER,Header,,,PIC X(04),4,59-62,59,62,,,AN,5.1.3,06/22/2022 - Updated CASH MONEY MARKETS Business Definition,6/22/2022,,1/1/2001,TRUE
Account Balance Transmission,TRANSMISSION CREATION DATE,Header,,,PIC X(06),6,63-68,63,68,NOT DISPLAYED,,MMDDYY,5.1.3,06/22/2022 - Updated CASH MONEY MARKETS Business Definition,6/22/2022,,1/1/2001,TRUE
Account Balance Transmission,FILLER,Header,,,PIC X(1432),1432,69-1500,69,1500,,,AN,5.1.3,06/22/2022 - Updated CASH MONEY MARKETS Business Definition,6/22/2022,,1/1/2001,TRUE
Account Balance Transmission,RECORD NUMBER,Record,,,PIC X(1),1,1-Jan,1,1,,,AN,5.1.3,06/22/2022 - Updated CASH MONEY MARKETS Business Definition,6/22/2022,,6/1/2001,TRUE
Account Balance Transmission,BRANCH,Record,,,PIC X(3),3,4-Feb,2,4,BSUM,BRANCH,AN,5.1.3,06/22/2022 - Updated CASH MONEY MARKETS Business Definition,6/22/2022,,1/1/2001,TRUE
Account Balance Transmission,ACCOUNT NUMBER,Record,,,PIC X(6),6,10-May,5,10,BSUM,ACCT,AN,5.1.3,06/22/2022 - Updated CASH MONEY MARKETS Business Definition,6/22/2022,,9/13/2001,TRUE
