record_type,record_number,record_segment,field_name,position_start,position_end,scale,conditional_changes,description,notes
D,1,1,RecordNumber1,1,1,,,,
D,1,1,RecordStatusCode,2,2,,,,
D,1,1,CUSIP,3,11,,,,
D,1,1,Symbol,12,31,,,,
D,1,1,MarginPriceEffectiveDate,32,37,,,,
D,1,1,MarginPriceExpireDate,38,43,,,,
D,1,1,SecurityType,44,44,,,,
D,1,1,SecurityTypeModifier,45,45,,,,
D,1,1,SecurityTypeCalculation,46,46,,,,
D,1,1,IssueDate1,47,52,,,,
D,1,1,IssuerCountry,53,55,,,,
D,1,1,PrimaryExchange1,56,56,,,,
D,1,1,DTCEligibilityCode,57,57,,,,
D,1,1,OptionRightsWTSExpireDate1,58,63,,,,
D,1,1,DistributionFrequencyCode,64,64,,,,
D,1,1,MarginCode1,65,65,,,,
D,1,1,ConversionRatioSign,66,66,,,,
D,1,1,ConversionRatio,67,72,3,,,
D,1,1,CallableDate,73,80,,,,
D,1,1,SecurityShortName,81,90,,,,
D,1,1,UnderlyingCUSIPCode,91,91,,,,
D,1,1,UnderlyingCUSIP,92,100,,,,
D,1,1,UserCUSIPIndicator,101,101,,,,
D,1,2,RecordNumber2,1,1,,,,
D,1,2,ProductCode,2,13,,,,
D,1,2,DatedDate,14,19,,,,
D,1,2,Foreign,20,20,,,,
D,1,2,NumberOfDescriptionLines,21,21,,,,
D,1,2,SecurityDescriptionLine1,22,41,,,,
D,1,2,SecurityDescriptionLine2,42,61,,,,
D,1,2,SecurityDescriptionLine3,62,81,,,,
D,1,2,SecurityDescriptionLine4,82,101,,,,
D,1,3,RecordNumber3,1,1,,,,
D,1,3,SecurityDescriptionLine5,2,21,,,,
D,1,3,SecurityDescriptionLine6,22,41,,,,
D,1,3,ExDividendDate,42,47,,,,
D,1,3,DividendPayDate,48,53,,,,
D,1,3,DividendRateSign,54,54,,,,
D,1,3,DividendRate,55,63,6,,,
D,1,3,PriorRecordDate,64,69,,,,
D,1,3,PIPEligible,70,70,,,,
D,1,3,SWPEligible,71,71,,,,
D,1,3,BaseInterestDate,72,75,,,,
D,1,3,InterestDays,76,76,,,,
D,1,3,FirstCouponDate,77,82,,,,
D,1,3,DebtInterestRateSign,83,83,,,,
D,1,3,DebtInterestRate,84,90,5,,,
D,1,3,DebtMaturityDate1,91,96,,,,
D,1,3,BondClassCode,97,97,,,,
D,1,3,NYTaxCode,98,98,,,,
D,1,3,ExchangeGroupNumber,99,101,,,,
D,1,4,RecordNumber4,1,1,,,,
D,1,4,FundFamilyNumber,2,6,,,,
D,1,4,FundFamilyDescription,7,26,,,,
D,1,4,FundLoadType,27,27,,,,
D,1,4,FundClassOfShares,28,28,,,,
D,1,4,TradableFlag,29,29,,,,
D,1,4,TypeOfFund,30,30,,,,
D,1,4,LastChangedDate,31,36,,,,
D,1,4,MarginCode2,37,37,,,,
D,1,4,ReorganizationPendingCode,38,38,,,,
D,1,4,PrimaryExchange2,39,40,,,,
D,1,4,ParticipantFundCode,41,41,,,,
D,1,4,InitialMinimum,42,50,2,,,
D,1,4,SubsequentMinimum,51,59,2,,,
D,1,4,RedemptionMinimum,60,68,2,,,
D,1,4,RedemptionMaximum,69,77,2,,,
D,1,4,IssueDate2,78,85,,,,
D,1,4,DebtMaturityDate2,86,93,,,,
D,1,4,OptionRightsWTSExpireDate2,94,101,,,,
D,1,5,RecordNumber5,1,1,,,,
D,1,5,FloorTradingSymbol,2,21,,,,
D,1,5,StrikePrice,22,32,5,,,
D,1,5,RatingAgentCode1,33,33,,,,
D,1,5,Rating1,34,38,,,,
D,1,5,RatingAgentCode2,39,39,,,,
D,1,5,Rating2,40,44,,,,
D,1,5,RatingAgentCode3,45,45,,,,
D,1,5,Rating3,46,50,,,,
D,1,5,IssuerStateCode,51,52,,,,
D,1,5,CurrentFactorAmount,53,62,8,,,
D,1,5,CurrentFactorDate,63,70,,,,
D,1,5,ZeroCouponIndicator,71,71,,,,
D,1,5,LastCouponDate,72,77,,,,
D,1,5,OptionActivityBeginDate,78,83,,,,
D,1,5,OptionActivityEndDate,84,89,,,,
D,1,5,CBLCoveredSecIndicator,90,90,,,,
D,1,5,CBLCoveredSecEffectiveDate,91,98,,,,
D,1,5,Filler3,99,101,,,,
D,1,6,RecordNumber6,1,1,,,,
D,1,6,BidPrice,2,19,9,,,
D,1,6,AskPrice,20,37,9,,,
D,1,6,ClosingMarketPrice,38,55,9,,,
D,1,6,Pricedate,56,63,,,,
D,1,6,Filler4,64,101,,,,
D,1,7,RecordNumber7,1,1,,,,
D,1,7,UnfactoredPriceSign,2,2,,,,
D,1,7,UnfactoredPrice,3,20,9,,,
D,1,7,FactoredPriceSign,21,21,,,,
D,1,7,FactoredPrice,22,39,9,,,
D,1,7,PreviousFactorAmount,40,49,8,,,
D,1,7,PreviousFactorDate,50,57,,,,
D,1,7,SecondPreviousFactorAmount,58,67,8,,,
D,1,7,SecondPreviousFactorDate,68,75,,,,
D,1,7,DayDelay,76,78,,,,
D,1,7,CpiRatioSign,79,79,,,,
D,1,7,CpiRatio,80,89,8,,,
D,1,7,CpiRatioDate,90,97,,,,
D,1,7,Filler5,98,101,,,,
D,1,8,RecordNumber8,1,1,,,,
D,1,8,DatedDateCPISign,2,2,,,,
D,1,8,DatedDateCPI,3,10,5,,,
D,1,8,CurrentCouponEffectiveDate,11,18,,,,
D,1,8,NextSteppedCouponRateSign,19,19,,,,
D,1,8,NextSteppedCouponRate,20,26,5,,,
