record_name,position,picture,type,conditional_changes,field_name,scale,description,notes
HEADER,001-018,X(18),AN,,b_of_pershing,,Literally “BOF                           PERSHING     ” (beginning of Pershing file),
HEADER,019-040,X(18),AN,,asset_transfer_detail,,Literally “ACCOUNT    ASSET             ”,
HEADER,041-052,X(10),AN,,data_of ,,Literally “     DATA     OF         ”,
HEADER,053-062,X(10),AN,,date_of_data,,DATE OF DATA = “MM/DD/CCYY”,
HEADER,063-073,X(11),AN,,to_remote,,Literally “     TO     REMOTE     ”,
HEADER,074-077,X(04),AN,,remote_id,,REMOTE ID = “XXXX”,
HEADER,078-091,X(14),AN,,begins_here,,Literally “     BEGINS     HERE         ”,
HEADER,092-101,X(10),AN,,run_date,,RUN DATE = “MM/DD/CCYY”,
HEADER,101-102,X(01),AN,,not_used,,Not Used,
HEADER,103-110,X(08),AN,,run_time,,RUN TIME = “HH:MM:SS”,
HEADER,111-124,X(14),AN,,not_used,,Not Used,
HEADER,125-133,X(09),AN,,file_status,,"Indicates if the file is REFRESHED/UPDATED/NOT APPLICABLE – literally “REFRESHED”, “UPDATED         ”  or“                                                     “",
HEADER,134-505,X(372),AN,,not_used,,Not Used,
HEADER,506-506,X(01),AN,,end_of_the_header_record,,Literally “A”; indicates the end of the header record,
1,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “AT”,
1,003-003,X(01),AN,,record_indicator_transfer_type,,"RECORD INDICATOR TRANSFER TYPE; values include:
“A” = Incoming ACAT transfer
“B” = incoming Non-ACAT transfer
“C” = Incoming CIT transfer
“D” = Outgoing ACAT transfer
“E” = Outgoing Non-ACAT transfer
“F” = Outgoing CIT transfer",
1,004-011,9(08),N,,record_id_seq_num,,"RECORD ID SEQUENCE NUMBER, begins with“00000001”",
1,012-020,X(09),AN,,account_number,,"ACCOUNT NUMBER, including Office (3), Base Account (5), Check Digit (1)",
1,021-024,X(04),AN,,investment_professional_number,,INVESTMENT PROFESSIONAL (IP) NUMBER; NOTE: For three-character IP Numbers position 24 will be,
1,025-025,X(01),AN,,record_type,,"RECORD TYPE; value includes:
“1” = Equity Asset record",
1,026-026,X(01),AN,,asset_type_id,,"ASSET TYPE ID; values include:
“C” = CUSIP
“M” = Memo",
1,027-035,X(09),AN,,asset_number,,"ASSET NUMBER; if Asset Type ID in position 026 is “M” then this field will be zeroes and asset description becomes description of memo; if asset number = 888888888, then asset is credit; if asset number = 999999999, then asset is debit",
1,036-042,X(07),AN,,not used,,Not Used,
1,043-102,X(60),AN,,asset_description,,ASSET DESCRIPTION,
1,103-105,X(03),AN,,asset_status ,,ASSET STATUS; see Appendix T for values,
1,106-123,9(13)v9(05),N,,actual_quantity,5,ACTUAL QUANTITY,
1,124-124,X(01),AN,,actual_quantity_sign,,"ACTUAL QUANTITY SIGN; values include:
“+” = Positive Quantity
“-” = Negative Quantity
“ ” = Not Applicable",
1,125-142,9(16)v9(02),N,,market_value_of_this_asset,2,MARKET VALUE OF THIS ASSET,
1,143-143,X(01),AN,,market_value_sign,,"MARKET VALUE SIGN; values include:
“+” = Debit Amount
“-” = Credit Amount
“
” = Not Applicable",
1,144-144,X(01),AN,,cash_margin_indicator,,"CASH MARGIN INDICATOR; values include:
“C” = Cash
“M” = Margin
“S” = Short",
1,145-148,X(04),AN,,nscc_method_of_delivery_code,,NSCC METHOD OF DELIVERY CODE; see Appendix T for values,
1,149-149,X(01),AN,,long/short_indicator,,"LONG/SHORT INDICATOR; values include:
“0” = Position Long
“1” = Position Short",
1,150-487,X(338),AN,,not used,,Not Used,
1,488-499,X(12),AN,,request_id,,REQUEST ID,
1,500-500,X(01),AN,,end_of_the_detail_record_1,,Literally “X”; indicates the end of detail record 1,
2,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “AT”,
2,003-003,X(01),AN,,transfer_type_code,,"RECORD INDICATOR TRANSFER TYPE; values include:
“A” = Incoming ACAT transfer
“B” = incoming Non-ACAT transfer
“C” = Incoming CIT transfer
“D” = Outgoing ACAT transfer
“E” = Outgoing Non-ACAT transfer
“F” = Outgoing CIT transfer",
2,004-011,9(08),N,,record_id_seq_num,,"RECORD ID SEQUENCE NUMBER, begins with“00000001”",
2,012-020,X(09),AN,,account_number,,"ACCOUNT NUMBER, including Office (3), Base Account (5), Check Digit (1)",
2,021-024,X(04),AN,,investment_professional_number,,INVESTMENT PROFESSIONAL (IP) NUMBER; NOTE: For three-character IP Numbers position 24 will be,
2,025-025,X(01),AN,,record_type,,"RECORD TYPE; value includes:
“1” = Equity Asset record",
2,026-026,X(01),AN,,asset_type_id,,"ASSET TYPE ID; values include:
“C” = CUSIP
“M” = Memo",
2,027-035,X(09),AN,,asset_number,,"ASSET NUMBER; if Asset Type ID in position 026 is “M” then this field will be zeroes and asset description becomes description of memo; if asset number = 888888888, then asset is credit; if asset number = 999999999, then asset is debit",
2,036-042,X(07),AN,,not used,,Not Used,
2,043-102,X(60),AN,,asset_description,,ASSET DESCRIPTION,
2,103-105,X(03),AN,,asset_status ,,ASSET STATUS; see Appendix T for values,
2,106-123,9(13)v9(05),N,,actual_quantity,5,ACTUAL QUANTITY,
2,124-124,X(01),AN,,actual_quantity_sign,,"ACTUAL QUANTITY SIGN; values include:
“+” = Positive Quantity
“-” = Negative Quantity
“ ” = Not Applicable",
2,125-142,9(16)v9(02),N,,market_value_of_this_asset,2,MARKET VALUE OF THIS ASSET,
2,143-143,X(01),AN,,market_value_sign,,"MARKET VALUE SIGN; values include:
“+” = Debit Amount
“-” = Credit Amount
“
” = Not Applicable",
2,144-144,X(01),AN,,cash_margin_indicator,,"CASH MARGIN INDICATOR; values include:
“C” = Cash
“M” = Margin
“S” = Short",
2,145-148,X(04),AN,,nscc_method_of_delivery_code,,NSCC METHOD OF DELIVERY CODE; see Appendix T for values,
