record_name,position,picture,type,conditional_changes,field_name,scale,description,notes
HEADER,001-018,X(18),AN,,b_of_pershing,,Literally “BOF      PERSHING ” (beginning of Pershing file),
HEADER,019-051,X(18),AN,,asset_transfer_summary_record_e,,Literally “ASSET TRANSFER SUMMARY RECORD E  ”,
HEADER,052-061,X(10),AN,,data_of ,,Literally “ DATA OF  ”,
HEADER,062-071,X(10),AN,,date_of_data,,DATE OF DATA = “MM/DD/CCYY”,
HEADER,072-082,X(11),AN,,to_remote,,Literally “ TO REMOTE ”,
HEADER,083-086,X(04),AN,,remote_id,,REMOTE ID = “XXXX”,
HEADER,087-100,X(14),AN,,begins_here,,Literally “ BEGINS HERE  ”,
HEADER,101-110,X(10),AN,,run_date,,RUN DATE = “MM/DD/CCYY”,
HEADER,111-111,X(01),AN,,not_used,,Not Used,
HEADER,112-119,X(08),AN,,run_time,,RUN TIME = “HH:MM:SS”,
HEADER,120-133,X(14),AN,,not_used,,Not Used,
HEADER,134-142,X(09),AN,,refreshed_updated,,"Indicates if the file is REFRESHED/UPDATED/NOT APPLICABLE – literally “REFRESHED”, “UPDATED         ”  or“                                                     “",
HEADER,143-514,X(372),AN,,not_used,,Not Used,
HEADER,515-515,X(01),AN,,end_of_the_header_record,,Literally “A”; indicates the end of the header record,
E,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “AT”,
E,003-003,X(01),AN,,record_indicator_transfer_type,,RECORD INDICATOR TRANSFER TYPE = “E”,
E,004-011,9(08),N,,record_id_seq_num,,"RECORD ID SEQUENCE NUMBER, begins with“00000001”",
E,012-020,X(09),AN,,account_number,,"ACCOUNT NUMBER, including Office (3), Base Account (5), Check Digit (1)",
E,021-024,X(04),AN,,investment_professional_number,, INVESTMENT PROFESSIONAL (IP) NUMBER; NOTE: For three-character IP Numbers position 24 will be “”.,
E,025-025,X(01),AN,,record_type,,"RECORD TYPE; value includes:
“0” = Transfer Level record",
E,026-028,X(03),AN,,transfer_type ,,"TRANSFER TYPE; values include:
“FUL” = Full Transfer
“PTR” = Partial Transfer Receiver Initiated
“RCR”= Residual Transfer",
E,029-031,X(03),AN,,transfer_status,,TRANSFER STATUS; see Appendix T for values,
E,032-033,9(02),N,,days_in_pershing_status,,DAYS IN PERSHING STATUS,
E,034-037,X(04),AN,,contra_broker_number,,CONTRA BROKER NUMBER,
E,038-072,X(35),AN,,contra_broker_name,,CONTRA BROKER NAME,
E,073-107,X(35),AN,,contra_account_number,,CONTRA ACCOUNT NUMBER,
E,108-109,X(02),AN,,retirement_account_class_indicator,,"RETIREMENT ACCOUNT CLASS INDICATOR; values include:
“B1” = IRA for which Pershing LLC is Custodian
“B2” = IRA for which Pershing LLC is not Custodian
“B3” = IRA where Pershing LLC acts as a servicing agent
“  ” = Non-retirement account",
E,110-117,9(08),N,,request_creation_date,,"REQUEST CREATION DATE, in CCYYMMDD format",
E,118-125,X(08),AN,,request_creation_user_id,,REQUEST CREATION USER ID,
E,126-133,9(08),N,,last_update_date,,"LAST UPDATE DATE, in CCYYMMDD format",
E,134-141,X(08),AN,,last_update_user_id,,LAST UPDATE USER ID,
E,142-159,9(16)v9(02),N,,total_market_value_of_transfer,2,TOTAL MARKET VALUE OF TRANSFER,
E,160-160,X(01),AN,,total_market_value_sign,,"TOTAL MARKET VALUE SIGN; values include:
“+” = Debit Amount
“-” = Credit Amount
“ ” = Not Applicable",
E,161-163,X(03),AN,,source_code,,"SOURCE CODE; values include:
“DRD” = Direct Rollover Due to Death
“DRQ” = Direct Rollover
“ROC” = Rollover Contribution
“TOA” = Transfer of Account",
E,164-181,9(16)v9(02),N,,special_memorandum_account,2,SPECIAL MEMORANDUM ACCOUNT (SMA),
E,182-182,X(01),AN,,special memorandum account sign,,SPECIAL MEMORANDUM ACCOUNT SIGN; see position 160 for values,
E,183-222,X(40),AN,,customer_name,,CUSTOMER NAME,
E,223-231,X(09),AN,,primary_tax_identification_number,,PRIMARY TAX IDENTIFICATION NUMBER,
E,232-263,X(32),AN,,customer_account_registration 2,,CUSTOMER ACCOUNT REGISTRATION 2,
E,264-295,X(32),AN,,customer_account_registration 3,,CUSTOMER ACCOUNT REGISTRATION 3,
E,296-327,X(32),AN,,customer_account_registration 4,,CUSTOMER ACCOUNT REGISTRATION 4,
E,328-335,9(08),N,,follow_up_date,,"FOLLOW-UP DATE, in CCYYMMDD format",
E,336-343,9(08),N,,release_approval_date,,"RELEASE/APPROVAL DATE, in CCYYMMDD format",
E,344-351,9(08),N,,transfer_closed_date,,"TRANSFER CLOSED DATE, in CCYYMMDD format",
E,352-353,X(02),AN,,reject_code,,REJECT CODE; see Appendix T for values,
E,354-473,X(120),AN,,reason_comments,,REASON COMMENTS; free-form text,
E,474-487,X(14),AN,,not_used,,Not Used,
E,488-499,X(12),AN,,request_id,,REQUEST ID ,
E,500-500,X(01),AN,,end_of_the_detail_record_e,,Literally “X”; indicates the end of detail record E,
