record_name,position,picture,type,conditional_changes,field_name,scale,description,notes
HEADER,001-018,X(18),AN,,not_used,,Literally “BOFPERSHING” (beginning of Pershing file),
HEADER,019-036,X(18),AN,,not_used,,Literally “CHECK&FUNDDTL”,
HEADER,037-046,X(10),AN,,not_used,,Literally “DATAOF”,
HEADER,047-056,X(10),AN,,date_of_data,,DATE OF DATA = “MM/DD/CCYY”,
HEADER,057-067,X(11),AN,,not_used,,Literally “TOREMOTE”,
HEADER,068-071,X(04),AN,,remote_id,,REMOTE ID = “XXXX”,
HEADER,072-085,X(14),AN,,not_used,,Literally “BEGINSHERE”,
HEADER,086-095,X(10),AN,,run_date,,RUN DATE = “MM/DD/CCYY”,
HEADER,096-096,X(01),AN,,not_used,,Not Used,
HEADER,097-104,X(08),AN,,run_time,,RUN TIME = “HH:MM:SS”,
HEADER,105-499,X(395),AN,,not_used,,Not Used,
HEADER,500-500,X(01),AN,,not_used,,Literally “A”; indicates the end of the header record,
A,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “CF”,
A,003-003,X(01),AN,,record_type,,RECORD TYPE = “A”,
A,004-009,9(06),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “000001”,
A,010-019,X(10),AN,,account_number,,"ACCOUNT NUMBER, including Office (3), Base Account (6) and Type (1); values for Type include:
“0” = Cash on Delivery
“1” = Cash/Principal accounting for Bank Custody
“2” = Margin
“3” = Short
“8” = Precious Metals
“9” = Income/Income accounting for Bank Custody",
A,020-034,9(13)v9(02),N,,transaction_amount,,TRANSACTION AMOUNT; amount of the fed fund being sent,
A,035-035,X(01),AN,,transaction_amount_sign,,"TRANSACTION AMOUNT SIGN; values include:
“–” = Negative
“+” = Positive
“” = Unavailable or Zero Value",
A,036-038,X(03),AN,,investment_professional_ip_number_legacy,,INVESTMENT PROFESSIONAL (IP) NUMBER,
A,039-042,X(04),AN,,investment_professional_ip_number,,EXPANDED INVESTMENT PROFESSIONAL (IP) NUMBER,Expanded
A,043-072,X(34),AN,,intermediary_institution,,INTERMEDIARY INSTITUTION,Expanded
A,073-107,X(35),AN,,intermediary_description_line_1,,"INTERMEDIARY DESCRIPTION, Line 1",
A,108-142,X(35),AN,,intermediary_description_line_2,,"INTERMEDIARY DESCRIPTION, Line 2",
A,143-176,X(34),AN,,account_with_institution,,ACCOUNT WITH INSTITUTION,
