record_name,position,picture,type,conditional_changes,field_name,scale,description,notes
HEADER,001-018,X(18),AN,,b_of_pershing,,Literally “BOF                           PERSHING     ” (beginning of Pershing file),
HEADER,019-036,X(18),AN,,global_activity,,Literally “GLOBAL     ACTIVITY              ”,
HEADER,037-046,X(10),AN,,data_of ,,Literally “     DATA     OF         ”,
HEADER,047-056,X(10),AN,,date_of_data,,DATE OF DATA = “MM/DD/CCYY”,
HEADER,057-067,X(11),AN,,to_remote,,Literally “     TO     REMOTE     ”,
HEADER,068-071,X(04),AN,,remote_id,,REMOTE ID = “XXXX”,
HEADER,072-085,X(14),AN,,begins_here,,Literally “     BEGINS     HERE         ”,
HEADER,086-095,X(10),AN,,run_date,,RUN DATE = “MM/DD/CCYY”,
HEADER,096-096,X(01),AN,,not_used,,Not Used,
HEADER,097-104,X(08),AN,,run_time,,RUN TIME = “HH:MM:SS”,
HEADER,105-749,X(645),AN,,not_used,,Not Used,
HEADER,750-750,X(01),AN,,end_of_the_header_record,,Literally “A”; indicates the end of the header record,
A,001 - 002,X(02),AN,,transaction_code,,"TRANSACTION CODE; values include:
“GA” = GACT (Brokerage)
“K1” = GAC1 (Bank Custody)",
A,003 - 003,X(01),AN,,record_indicator_value,,RECORD INDICATOR VALUE = “A”,
A,004 - 011,9(08),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “00000001”,
A,012 - 020,X(9),AN,,account_number,,"ACCOUNT NUMBER, including Office (3), Base (6)",
A,021-021,X(01),AN,,account_type,,"ACCOUNT TYPE
“0” = Cash on Delivery
“1” = Cash/Principal Accounting for Bank Custody
“2” = Margin
“3” = Short
“4” = Special Subscription
“5” = Arbitrage
“6” = Market Function
“7” = Good Faith
“8” = Precious Metals
“9” = Income/Income Accounting for Bank Custody",
A,022 - 030,X(09),AN,,cusip_number,,CUSIP Number,
A,031 - 034,X(04),AN,,not_used,,Not Used,
A,035 - 043,X(09),AN,,underlying_cusip_number,,UNDERLYING CUSIP; may be blank,
A,044 - 047,X(04),AN,,not_used,,Not Used,
A,048 - 063,X(16),AN,,security_symbol,,SECURITY SYMBOL,
A,064 - 066,X(03),AN,,investment_professional_of_record_legacy,,INVESTMENT PROFESSIONAL OF RECORD,expanded
A,067 - 069,X(03),AN,,executing_investment_professional_legacy,,EXECUTING INVESTMENT PROFESSIONAL; trades only,expanded
A,070 - 070,X(01),AN,,transaction_type,,"TRANSACTION TYPE; values include:
“T” = Trade Date Trade
“S” = Settlement Date Trade
“     ” = Bookkeeping (non-trade) entry",
A,071 - 071,X(01),AN,,buy_sell_code,,"BUY/SELL CODE; values include:
“B” = Buy
“S” = Sell
“     ” (or any other character) = Non-trade Entry",
A,072 - 072,X(01),AN,For Options Only,open_close_indicator,,"OPEN/CLOSE INDICATOR (for options only); values include:
“O” = Opening Transaction
“C” = Closing Transaction
“     ”= Transaction is not an Option",
A,073 - 074,X(02),AN,,par_key_code,,"PAR KEY CODE; see Appendix 7, “Key Codes,” for values","See Appendix 7, ""Key Codes,"" for values"
A,075 - 077,X(03),AN,,source_code,,"SOURCE CODE; see Appendix 8, “Source Codes,” for values","See Appendix 8, “Source Codes,” for values"
A,078 - 081,9(04),N,,maxx_key_code,,"MAXX KEY CODE; see Appendix 7, “Key Codes,” for values","See Appendix 7, ""Key Codes,"" for values"
A,082 - 089,9(08),N,,process_date,,"PROCESS DATE, in CCYYMMDD format",
A,090 - 097,9(08),N,,trade_date,,"TRADE DATE, in CCYYMMDD format",
A,098 - 105,9(08),N,,settlement_entry_date,,"SETTLEMENT/ENTRY DATE, in CCYYMMDD format",
A,106 - 112,9(07),N,,for_pershing_internal_use_only,,For Pershing Internal Use Only,
A,113 - 114,X(02),AN,,source_of_input,,"SOURCE OF INPUT; see Appendix P, “Source of Input”","See Appendix P, “Source of Input”"
A,115 - 120,X(06),AN,,reference_number,,REFERENCE NUMBER,
A,121 - 125,X(05),AN,,batch_code,,BATCH CODE,
