record_name,position,picture,type,conditional_changes,field_name,scale,description,notes
HEADER,001 - 018,X(18),AN,,b_of_pershing,,Literally “BOF                           PERSHING     ” (beginning of Pershing file),
HEADER,019 - 037,X(19),AN,,global_moneyline,,Literally “GLOBAL     MONEYLINE              ”,
HEADER,038 - 046,X(09),AN,,data_of ,,Literally “DATA     OF         ”,
HEADER,047 - 056,X(10),AN,,date_of_data,,DATE OF DATA = “MM/DD/CCYY”,
HEADER,057 - 067,X(11),AN,,to_remote,,Literally “     TO    REMOTE    ”,
HEADER,068 - 071,X(04),AN,,remote_id,,REMOTE ID = “XXXX”,
HEADER,072 - 085,X(14),AN,,begins_here,,Literally “     BEGINS     HERE         ”,
HEADER,086 - 095,X(10),AN,,run_date,,RUN DATE = “MM/DD/CCYY”,
HEADER,096 - 096,X(01),AN,,not_used,,Not Used,
HEADER,097 - 104,X(08),AN,,run_time,,RUN TIME = “HH:MM:SS”,
HEADER,105 - 249,X(145),AN,,not_used,,Not Used,
HEADER,250 - 250,X(01),AN,,end_of_the_header_record,,Literally “A”; indicates the end of the header record,
A,001 - 002,X(02),AN,,transaction_code,,"TRANSACTION CODE
Values include:
“GM” = GMON (Brokerage)
“N1” = GMN1 (Bank Custody)",
A,003 - 003,X(01),AN,,record_indicator_value,,RECORD INDICATOR VALUE = “A”,
A,004 - 011,9(08),N,,record_id_sequence_number,,"RECORD ID SEQUENCE NUMBER
Begins with “00000001”",
A,012 - 020,X(09),AN,,account_number,,"ACCOUNT NUMBER
Including Office (3), Base (6)",
A,021 - 021,X(01),AN,,not_used,,Not Used,
A,022 - 025,X(03),AN,,investment_professional_ip_number,,INVESTMENT PROFESSIONAL (IP) NUMBER,Expanded
A,026 - 028,X(03),AN,,introducing_broker_dealer_ibd_number,,INTRODUCING BROKER DEALER (IBD) NUMBER,
A,029 - 046,9(16)v9(02),N,,usde_td_balance_for_all_account_types,2,"USDE T/D BALANCE FOR ALL ACCOUNT TYPES
Equivalent to Net Balance on NetX360.
Total netted balances of all A/C types combined, as of the last T/D, in USDE.",
A,047 - 047,X(01),AN,,usde_td_balance_for_all_account_types_sign,,"USDE T/D BALANCE FOR ALL ACCOUNT TYPES SIGN
values include:
“-” = Credit Amount
“+” = Debit Amount",
A,048 - 065,9(16)v9(02),N,,usd_td_balance_for_all_account_types,2,"USD T/D BALANCE FOR ALL ACCOUNT TYPES
Does not include foreign currency",
A,066 - 066,X(01),AN,,usd_td_balance_for_all_account_types_sign,,"USD T/D BALANCE FOR ALL ACCOUNT TYPES SIGN
values include:
“-” = Credit Amount
“+” = Debit Amount",
A,067 - 084,9(16)v9(02),N,,long_td_market_value_for_all_account_types_in_usde,2,"LONG T/D MARKET VALUE FOR ALL ACCOUNT TYPES in USDE
Long T/D Market Value for all positions (domestic and international).
This value excludes currency positions.",
A,085 - 085,X(01),AN,,long_td_market_value_for_all_account_types_in_usde_sign,,"LONG T/D MARKET VALUE FOR ALL ACCOUNT TYPES SIGN
values include:
“+” = Credit Amount
“-” = Debit Amount",
A,086 - 103,9(16)v9(02),N,,short_td_market_value_for_all_account_types_in_usde,2,"SHORT T/D MARKET VALUE FOR ALL ACCOUNT TYPES in USDE
Short Trade Market Value for all positions (domestic and international).
This value excludes currency positions.",
A,104 - 104,X(01),AN,,short_td_market_value_for_all_account_types_in_usde_sign,,"SHORT T/D MARKET VALUE FOR ALL ACCOUNT TYPES SIGN
values include:
“+” = Credit Amount
“-” = Debit Amount",
A,105 - 122,9(16)v9(02),N,,td_liquidating_equity_for_all_account_types,2,"T/D LIQUIDATING EQUITY FOR ALL ACCOUNT TYPES
the Total Equity of the A/C plus (or minus) the MV of precious metals, commercial paper and options for all A/C types.",
A,123 - 123,X(01),AN,,td_liquidating_equity_for_all_account_types_sign,,"T/D LIQUIDATING EQUITY FOR ALL ACCOUNT TYPES SIGN
values include:
“+” = Credit Amount
“-” = Debit Amount",
A,124 - 141,9(16)v9(02),N,,total_usde_td_balance_for_all_account_types,2,"TOTAL USDE T/D BALANCE FOR ALL ACCOUNT TYPES
Equivalent to Total Balance on NetX360; 
sum of the Net Balances in all A/C types, all currency (domestic and foreign) in A/C and Money Market Fund Opening Balances (Principal and Dividend) in USDE.",
A,142 - 142,X(01),AN,,total_usde_td_balance_for_all_account_types_sign,,"TOTAL USDE T/D BALANCE FOR ALL ACCOUNT TYPES SIGN
values include:
“-” = Credit Amount
“+” = Debit Amount",
