record_name,position,picture,type,conditional_changes,field_name,scale,description,notes,,,,,,,,
HEADER,001-018,X(18),AN,,not_used,,Literally “BOFPERSHING” (beginning of Pershing file),,,,,,,,,
HEADER,019-036,X(18),AN,,not_used,,Literally “SECURITY PROFILES”,,,,,,,,,
HEADER,037-046,X(10),AN,,not_used,,Literally “DATA OF”,,,,,,,,,
HEADER,047-056,X(10),AN,,date_of_data,,DATE OF DATA = “MM/DD/CCYY” format,,,,,,,,,
HEADER,057-067,X(11),AN,,not_used,,Literally “TO REMOTE”,,,,,,,,,
HEADER,068-071,X(04),AN,,remote_id,,REMOTE ID = “XXX”,,,,,,,,,
HEADER,072-085,X(14),AN,,not_used,,Literally “BEGINS HERE”,,,,,,,,,
HEADER,086-095,X(10),AN,,run_date,,RUN DATE = “MM/DD/CCYY” format,,,,,,,,,
HEADER,096-096,X(01),AN,,not_used,,Not Used,,,,,,,,,
HEADER,097-104,X(08),AN,,run_time,,RUN TIME = “HH:MM:SS” format,,,,,,,,,
HEADER,105-749,X(645),AN,,not_used,,Not Used,,,,,,,,,
HEADER,750-750,X(01),AN,,not_used,,RECORD DELIMITER = “A”; indicates end of the header record,,,,,,,,,
A,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “SP”,,,,,,,,,
A,003-003,X(01),AN,,record_identifier,,RECORD IDENTIFIER = “A”,,,,,,,,,
A,004-009,9(06),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “000001”,,,,,,,,,
A,010-017,X(08),AN,,user_id,,USER ID; this is an eight-character User ID,,,,,,,,,
A,018-021,X(04),AN,,introducing_broker_dealer_ibd_number,,INTRODUCING BROKER DEALER (IBD) NUMBER,,,,,,,,,
A,022-053,X(32),AN,,user_first_name,,USER FIRST NAME,,,,,,,,,
A,054-085,X(32),AN,,user_last_name,,USER LAST NAME,,,,,,,,,
A,086-089,X(04),AN,,not_used,,Not Used,,,,,,,,,
A,090-097,X(08),AN,,id_creation_date,,"ID CREATION DATE, in CCYYMMDD format",,,,,,,,,
A,098-105,X(08),AN,,top_secret_profiles_1,,TOP SECRET PROFILES 1,,,,,,,,,
A,106-113,X(08),AN,,top_secret_profiles_2,,TOP SECRET PROFILES 2,,,,,,,,,
A,114-121,X(08),AN,,top_secret_profiles_3,,TOP SECRET PROFILES 3,,,,,,,,,
A,122-129,X(08),AN,,top_secret_profiles_4,,TOP SECRET PROFILES 4,,,,,,,,,
A,130-137,X(08),AN,,top_secret_profiles_5,,TOP SECRET PROFILES 5,,,,,,,,,
A,138-145,X(08),AN,,top_secret_profiles_6,,TOP SECRET PROFILES 6,,,,,,,,,
A,146-153,X(08),AN,,top_secret_profiles_7,,TOP SECRET PROFILES 7,,,,,,,,,
A,154-161,X(08),AN,,top_secret_profiles_8,,TOP SECRET PROFILES 8,,,,,,,,,
A,162-169,X(08),AN,,top_secret_profiles_9,,TOP SECRET PROFILES 9,,,,,,,,,
A,170-177,X(08),AN,,top_secret_profiles_10,,TOP SECRET PROFILES 10,,,,,,,,,
A,178-185,X(08),AN,,top_secret_profiles_11,,TOP SECRET PROFILES 11,,,,,,,,,
A,186-193,X(08),AN,,top_secret_profiles_12,,TOP SECRET PROFILES 12,,,,,,,,,
A,194-201,X(08),AN,,top_secret_profiles_13,,TOP SECRET PROFILES 13,,,,,,,,,
A,202-209,X(08),AN,,top_secret_profiles_14,,TOP SECRET PROFILES 14,,,,,,,,,
A,210-217,X(08),AN,,top_secret_profiles_15,,TOP SECRET PROFILES 15,,,,,,,,,
A,218-225,X(08),AN,,top_secret_profiles_16,,TOP SECRET PROFILES 16,,,,,,,,,
A,226-233,X(08),AN,,top_secret_profiles_17,,TOP SECRET PROFILES 17,,,,,,,,,
A,234-241,X(08),AN,,top_secret_profiles_18,,TOP SECRET PROFILES 18,,,,,,,,,
A,242-249,X(08),AN,,top_secret_profiles_19,,TOP SECRET PROFILES 19,,,,,,,,,
A,250-257,X(08),AN,,top_secret_profiles_20,,TOP SECRET PROFILES 20,,,,,,,,,
A,258-265,X(08),AN,,top_secret_profiles_21,,TOP SECRET PROFILES 21,,,,,,,,,
A,266-273,X(08),AN,,top_secret_profiles_22,,TOP SECRET PROFILES 22,,,,,,,,,
A,274-281,X(08),AN,,top_secret_profiles_23,,TOP SECRET PROFILES 23,,,,,,,,,
A,282-289,X(08),AN,,top_secret_profiles_24,,TOP SECRET PROFILES 24,,,,,,,,,
A,290-297,X(08),AN,,top_secret_profiles_25,,TOP SECRET PROFILES 25,,,,,,,,,
A,298-305,X(08),AN,,top_secret_profiles_26,,TOP SECRET PROFILES 26,,,,,,,,,
A,306-313,X(08),AN,,top_secret_profiles_27,,TOP SECRET PROFILES 27,,,,,,,,,
A,314-321,X(08),AN,,top_secret_profiles_28,,TOP SECRET PROFILES 28,,,,,,,,,
A,322-329,X(08),AN,,top_secret_profiles_29,,TOP SECRET PROFILES 29,,,,,,,,,
A,330-337,X(08),AN,,top_secret_profiles_30,,TOP SECRET PROFILES 30,,,,,,,,,
A,338-345,X(08),AN,,top_secret_profiles_31,,TOP SECRET PROFILES 31,,,,,,,,,
A,346-353,X(08),AN,,top_secret_profiles_32,,TOP SECRET PROFILES 32,,,,,,,,,
A,354-361,X(08),AN,,top_secret_profiles_33,,TOP SECRET PROFILES 33,,,,,,,,,
A,362-369,X(08),AN,,top_secret_profiles_34,,TOP SECRET PROFILES 34,,,,,,,,,
A,370-377,X(08),AN,,top_secret_profiles_35,,TOP SECRET PROFILES 35,,,,,,,,,
A,378-385,X(08),AN,,top_secret_profiles_36,,TOP SECRET PROFILES 36,,,,,,,,,
A,386-393,X(08),AN,,top_secret_profiles_37,,TOP SECRET PROFILES 37,,,,,,,,,
A,394-401,X(08),AN,,top_secret_profiles_38,,TOP SECRET PROFILES 38,,,,,,,,,
A,402-409,X(08),AN,,top_secret_profiles_39,,TOP SECRET PROFILES 39,,,,,,,,,
A,410-417,X(08),AN,,top_secret_profiles_40,,TOP SECRET PROFILES 40,,,,,,,,,
A,418-425,X(08),AN,,top_secret_profiles_41,,TOP SECRET PROFILES 41,,,,,,,,,
A,426-433,X(08),AN,,top_secret_profiles_42,,TOP SECRET PROFILES 42,,,,,,,,,
A,434-441,X(08),AN,,top_secret_profiles_43,,TOP SECRET PROFILES 43,,,,,,,,,
A,442-449,X(08),AN,,top_secret_profiles_44,,TOP SECRET PROFILES 44,,,,,,,,,
A,450-457,X(08),AN,,top_secret_profiles_45,,TOP SECRET PROFILES 45,,,,,,,,,
A,458-465,X(08),AN,,top_secret_profiles_46,,TOP SECRET PROFILES 46,,,,,,,,,
A,466-473,X(08),AN,,top_secret_profiles_47,,TOP SECRET PROFILES 47,,,,,,,,,
A,474-481,X(08),AN,,top_secret_profiles_48,,TOP SECRET PROFILES 48,,,,,,,,,
A,482-489,X(08),AN,,top_secret_profiles_49,,TOP SECRET PROFILES 49,,,,,,,,,
A,490-497,X(08),AN,,top_secret_profiles_50,,TOP SECRET PROFILES 50,,,,,,,,,
A,498-505,X(08),AN,,top_secret_profiles_51,,TOP SECRET PROFILES 51,,,,,,,,,
A,506-513,X(08),AN,,top_secret_profiles_52,,TOP SECRET PROFILES 52,,,,,,,,,
A,514-521,X(08),AN,,top_secret_profiles_53,,TOP SECRET PROFILES 53,,,,,,,,,
A,522-529,X(08),AN,,top_secret_profiles_54,,TOP SECRET PROFILES 54,,,,,,,,,
A,530-537,X(08),AN,,top_secret_profiles_55,,TOP SECRET PROFILES 55,,,,,,,,,
A,538-545,X(08),AN,,top_secret_profiles_56,,TOP SECRET PROFILES 56,,,,,,,,,
A,546-553,X(08),AN,,top_secret_profiles_57,,TOP SECRET PROFILES 57,,,,,,,,,
A,554-561,X(08),AN,,top_secret_profiles_58,,TOP SECRET PROFILES 58,,,,,,,,,
A,562-569,X(08),AN,,top_secret_profiles_59,,TOP SECRET PROFILES 59,,,,,,,,,
A,570-577,X(08),AN,,top_secret_profiles_60,,TOP SECRET PROFILES 60,,,,,,,,,
A,578-585,X(08),AN,,top_secret_profiles_61,,TOP SECRET PROFILES 61,,,,,,,,,
A,586-593,X(08),AN,,top_secret_profiles_62,,TOP SECRET PROFILES 62,,,,,,,,,
A,594-601,X(08),AN,,top_secret_profiles_63,,TOP SECRET PROFILES 63,,,,,,,,,
A,602-609,X(08),AN,,top_secret_profiles_64,,TOP SECRET PROFILES 64,,,,,,,,,
A,610-617,X(08),AN,,top_secret_profiles_65,,TOP SECRET PROFILES 65,,,,,,,,,
A,618-625,X(08),AN,,top_secret_profiles_66,,TOP SECRET PROFILES 66,,,,,,,,,
A,626-633,X(08),AN,,top_secret_profiles_67,,TOP SECRET PROFILES 67,,,,,,,,,
A,634-641,X(08),AN,,top_secret_profiles_68,,TOP SECRET PROFILES 68,,,,,,,,,
A,642-649,X(08),AN,,top_secret_profiles_69,,TOP SECRET PROFILES 69,,,,,,,,,
A,650-657,X(08),AN,,top_secret_profiles_70,,TOP SECRET PROFILES 70,,,,,,,,,
A,658-665,X(08),AN,,top_secret_profiles_71,,TOP SECRET PROFILES 71,,,,,,,,,
A,666-673,X(08),AN,,top_secret_profiles_72,,TOP SECRET PROFILES 72,,,,,,,,,
A,674-681,X(08),AN,,top_secret_profiles_73,,TOP SECRET PROFILES 73,,,,,,,,,
A,682-689,X(08),AN,,top_secret_profiles_74,,TOP SECRET PROFILES 74,,,,,,,,,
A,690-697,X(08),AN,,top_secret_profiles_75,,TOP SECRET PROFILES 75,,,,,,,,,
A,698-705,X(08),AN,,top_secret_profiles_76,,TOP SECRET PROFILES 76,,,,,,,,,
A,706-713,X(08),AN,,top_secret_profiles_77,,TOP SECRET PROFILES 77,,,,,,,,,
A,714-721,X(08),AN,,top_secret_profiles_78,,TOP SECRET PROFILES 78,,,,,,,,,
