record_name,position,picture,type,conditional_changes,field_name,scale,description,notes
A,001 - 001,,Char,,RecordIndicator,,,
A,002 - 007,,Char,,SequenceNumber,,,
A,008 - 016,,Char,,CusipNumber,,,
A,017 - 017,,Char,,SecurityType,,,
A,018 - 018,,Char,,SecurityModifier,,,
A,019 - 019,,Char,,SecurityCalculationCodes,,,
A,020 - 020,,Char,,PrimaryExchange,,,
A,021 - 027,,Decimal,,CouponOrDividend,,,
A,028 - 034,,DateTime,,MaturityOn,,,
A,035 - 043,,VarChar,,UnderlyingSecurity,,,
A,044 - 052,,Decimal,,FirstCallPrice,,,
A,053 - 061,,Decimal,,FirstPARCallPrice,,,
A,062 - 071,,VarChar,,PrimarySymbol,,,
A,072 - 073,,VarChar,,InterestFrequency,,,
A,074 - 074,,Char,,BondClass,,,
A,075 - 076,,VarChar,,FirstCouponDay,,,
A,077 - 077,,Char,,CallIndicator,,,
A,078 - 078,,Char,,PutIndicator,,,
A,079 - 085,,DateTime,,NextPARCallDate,,,
A,086 - 092,,DateTime,,PrerefundedDate,,,
A,093 - 099,,DateTime,,NextPremiumCallDate,,,
A,100 - 106,,DateTime,,DatedOrExdividendDate,,,
A,107 - 113,,DateTime,,FirstCouponOrPayableDate,,,
A,114 - 120,,Int,,PershingInternal,,,
A,121 - 121,,Char,,NotUsed1A,,,
A,122 - 122,,Char,,CNSEligibleCode,,,
A,123 - 123,,Char,,DTCEligibleCode,,,
A,124 - 124,,Char,,NSCCEligibleCode,,,
A,125 - 125,,Char,,ForeignSecurity,,,
A,126 - 127,,VarChar,,SecondCouponDay,,,
A,128 - 128,,Char,,DividendPaymentMethod,,,
A,129 - 131,,VarChar,,MinorProductCode,,,
A,132 - 132,,Char,,RecordEnd,,,
B,001 - 001,,Char,,RecordIndicatorB,,,
B,002 - 007,,Char,,IDSequenceNumberB,,,
B,008 - 016,,Char,,CusipNumberB,,,
B,017 - 019,,VarChar,,NotUsed1B,,,
B,020 - 020,,Char,,ETFIndicator,,,
B,021 - 029,,Decimal,,BIDPrice,,,
B,030 - 038,,Decimal,,AskPrice,,,
B,039 - 047,,Decimal,,PreviousDayPrice,,,
B,048 - 056,,Decimal,,LatestPrice,,,
B,057 - 065,,Decimal,,EndOfMonthPrice,,,
B,066 - 078,,Decimal,,RoundLotQuantity,,,
B,079 - 079,,Char,,DividendReInvestmentEligibility,,,
B,080 - 086,,DateTime,,PreviousPriceDate,,,
B,087 - 093,,DateTime,,LatestPriceDate,,,
B,094 - 100,,DateTime,,EndOfMonthPriceDate,,,
B,101 - 107,,DateTime,,RecordDate,,,
B,108 - 108,,Char,,NotUsed2B,,,
B,109 - 111,,VarChar,,CountryCode,,,
B,112 - 115,,VarChar,,StandardAndPoorsRating,,,
B,116 - 120,,VarChar,,MoodysRating,,,
B,121 - 121,,Char,,BondSubClass,,,
B,122 - 125,,VarChar,,RestrictionIndicator,,,
B,126 - 126,,VarChar,,TraceIndicator,,,
B,127 - 127,,Char,,InterestCalulationMethodCode,,,
B,128 - 131,,VarChar,,SICCode,,,
B,132 - 132,,Char,,LiterallyB,,,
C,001 - 001,,Char,,RecordIndicator,,,
C,002 - 007,,Char,,IDSequenceNumber,,,
C,008 - 016,,Char,,CusipNumber,,,
C,017 - 020,,VarChar,,NotUsed1C,,,
C,021 - 021,,VarChar,,NumberOfDescriptionLines,,,
C,022 - 041,,VarChar,,SecurityDescriptionLine1,,,
C,042 - 061,,VarChar,,SecurityDescriptionLine2,,,
C,062 - 081,,VarChar,,SecurityDescriptionLine3,,,
C,082 - 101,,VarChar,,SecurityDescriptionLine4,,,
C,102 - 121,,VarChar,,SecurityDescriptionLine5,,,
C,122 - 123,,VarChar,,CusipIdentifier,,,
C,124 - 130,,DateTime,,PricePurgeDate,,,
C,131 - 131,,VarChar,,NotUsed2C,,,
C,132 - 132,,Char,,LiterallyC,,,
