record_name,position,picture,type,conditional_changes,field_name,scale,description,notes,,,,,,,,
HEADER,001-018,X(18),AN,,not_used,,Literally “BOFPERSHING” (beginning of Pershing file),,,,,,,,,
HEADER,019-036,X(18),AN,,not_used,,"Literally GTDE = “GLBL/DOMESTIC TRDS”
GSDE = “GLBL/DOMESTIC S/D”",,,,,,,,,
HEADER,037-046,X(10),AN,,not_used,,Literally “DATAOF”,,,,,,,,,
HEADER,047-056,X(10),AN,,date_of_data,,DATE OF DATA = “MM/DD/CCYY”,,,,,,,,,
HEADER,057-067,X(11),AN,,not_used,,Literally “TOREMOTE”,,,,,,,,,
HEADER,068-071,X(04),AN,,remote_id,,REMOTE ID = “XXXX”,,,,,,,,,
HEADER,072-085,X(14),AN,,not_used,,Literally “BEGINSHERE”,,,,,,,,,
HEADER,086-095,X(10),AN,,run_date,,RUN DATE = “MM/DD/CCYY”,,,,,,,,,
HEADER,096-096,X(01),AN,,not_used,,Not Used,,,,,,,,,
HEADER,097-104,X(08),AN,,run_time,,RUN TIME = “HH:MM:SS”,,,,,,,,,
HEADER,105-1249,X(1145),AN,,not_used,,Not Used,,,,,,,,,
HEADER,1250-1250,X(01),AN,,not_used,,Literally “A”; indicates the end of the header record,,,,,,,,,
A,001-002,X(02),AN,,transaction_code,,"TRANSACTION CODE; values include:
“GE” = GTDE
“GS” = GSDE",,,,,,,,,
A,003-003,X(01),AN,,record_indicator_value,,RECORD INDICATOR VALUE = “A”,,,,,,,,,
A,004-011,9(08),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “00000001”,,,,,,,,,
A,012-021,X(10),AN,,account_number,,"ACCOUNT NUMBER, including Office (3), Base Account (6), and Type (1); values for Type include:
“0” = COD
“1” = Cash/Principal Accounting for Bank Custody
“2” = Margin
“3” = Short
“4” = Special Subs
“5” = Arbitrage
“6” = Market Function
“7” = Good Faith
“8” = Precious Metal
“9” = Income/Income Accounting for Bank Custody",,,,,,,,,
A,022-022,X(01),AN,,not_used,,Not Used,,,,,,,,,
A,023-025,X(03),AN,,ibd_number,,INTRODUCING BROKER DEALER (IBD) NUMBER,,,,,,,,,
A,026-028,X(03),AN,,not_used,,Not Used,,,,,,,,,
A,029-042,X(14),AN,,not_used,,Not Used,,,,,,,,,
A,043-062,X(20),AN,,pershing_internal_order_reference_number,,PERSHING INTERNAL ORDER REFERENCE NUMBER,,,,,,,,,
A,063-082,X(20),AN,,pershing_internal_trade_reference_number,,PERSHING INTERNAL TRADE REFERENCE NUMBER,,,,,,,,,
A,083-086,9(04),N,,pershing_internal_version,,PERSHING INTERNAL VERSION,,,,,,,,,
A,087-106,X(20),AN,,ibd_trade_id,,INTRODUCING BROKER/DEALER (IBD) TRADE ID,,,,,,,,,
A,107-126,X(20),AN,,unique_order_id,,UNIQUE ORDER ID,,,,,,,,,
A,127-146,X(20),AN,,allocation_block_id,,ALLOCATION BLOCK ID,,,,,,,,,
A,147-166,X(20),AN,,external_reference_number,,EXTERNAL REFERENCE NUMBER,,,,,,,,,
A,167-186,X(20),AN,,block_trade_id,,BLOCK TRADE ID; used for FX trades,,,,,,,,,
A,187-192,X(06),AN,,p_s_reference_number,,P&S REFERENCE NUMBER,,,,,,,,,
A,193-198,X(06),AN,,trade_area_id,,TRADE AREA ID; free-form text,,,,,,,,,
A,199-206,9(08),N,,trade_date,,"TRADE DATE, in CCYYMMDD format",,,,,,,,,
A,207-212,9(06),N,,execution_time,,"EXECUTION TIME, when available = “HHMISS”; see position 1137 for expanded execution time",,,,,,,,,
A,213-220,9(08),N,,settlement_date,,"SETTLEMENT DATE, in CCYYMMDD format",,,,,,,,,
A,221-228,9(08),N,,process_date,,"PROCESS DATE, in CCYYMMDD format",,,,,,,,,
A,229-244,X(16),AN,,not_used,,Not Used,,,,,,,,,
A,245-247,X(03),AN,,not_used,,Not Used,,,,,,,,,
A,248-248,X(01),AN,,buy_sell_code,,"BUY/SELL CODE; values include:
“B” = Buy
“S” = Sell",,,,,,,,,
A,249-257,X(09),AN,,cusip_number,,CUSIP NUMBER,,,,,,,,,
A,258-264,X(07),AN,,not_used,,Not Used,,,,,,,,,
A,265-265,X(01),AN,,international_security_identifier_type,,"INTERNATIONAL SECURITY IDENTIFIER TYPE; values include:
“C” = CUSIP
“S” = Symbol
“I” = ISIN
“E” = SEDOL
“R” = Reuters Identification Code",,,,,,,,,
A,266-277,X(12),AN,,international_security_identifier_as_entered,,INTERNATIONAL SECURITY IDENTIFIER AS ENTERED ON TRANSACTION,,,,,,,,,
A,278-293,X(16),AN,,security_symbol,,SECURITY SYMBOL,,,,,,,,,
A,294-311,9(13)v9(05),N,,order_quantity,,ORDER QUANTITY,,,,,,,,,
A,312-312,X(01),AN,,order_quantity_sign,,"ORDER QUANTITY SIGN; values include:
“+” = Positive Quantity
“-” = Negative Quantity
“” = Not Available or Zeroes",,,,,,,,,
A,313-321,9(09),N,,pricing_group_quantity,,"PRICING GROUP QUANTITY; total quantity used for grouping trades (same Account, Security Identifier, side) for pricing purposes",,,,,,,,,
A,322-322,X(01),AN,,market_code,,"MARKET CODE; values include:
“1” = New York Stock Exchange® (NYSE)
“2” = NYSE ALT (formerly AMEX)
“3” = Philadelphia (PHLX)
“4” = Over the Counter (OTC)
“5” = Boston (BSE)
“6” = Chicago Exchange (CHX)
“7” = Chicago Board Options Exchange (CBOE)
“8” = Over the Counter/NSCC, NASDAQ (OTC/NSCC, OTC/NASDAQ)
“9” = Pacific (PSE)
“7” + BLOT “1” = Exercised and Assigned Equity Options",,,,,,,,,
A,323-337,X(15),AN,,not_used,,Not Used,,,,,,,,,
A,338-341,X(04),AN,,market_mnemonic_code,,MARKET MNEMONIC CODE; see Appendix S for values,,,,,,,,,
