record_name,position,picture,type,conditional_changes,field_name,scale,description,notes
HEADER,001-018,X(18),AN,,b_of_pershing,,Literally “BOFPERSHING” (beginning of Pershing file),
HEADER,019-036,X(18),AN,,global_cust_pos,,Literally “GLOBALCUSTPOS”,
HEADER,037-046,X(10),AN,,data_of,,Literally “DATAOF”,
HEADER,047-056,X(10),AN,,date_of_data,,DATE OF DATA = “MM/DD/CCYY”,
HEADER,057-067,X(11),AN,,to_remote,,Literally “TOREMOTE”,
HEADER,068-071,X(04),AN,,remote_id,,REMOTE ID = “XXXX”,
HEADER,072-085,X(14),AN,,begins_here,,Literally “BEGINSHERE”,
HEADER,086-095,X(10),AN,,run_date,,RUN DATE = “MM/DD/CCYY”,
HEADER,096-096,X(01),AN,,not_used,,Not Used,
HEADER,097-104,X(08),AN,,run_time,,RUN TIME = “HH:MM:SS”,
HEADER,105-118,X(14),AN,,not_used,,Not Used,
HEADER,119-127,X(09),AN,,refreshed_updated,,Indicates if the file is REFRESHED/UPDATED – literally “REFRESHED” or “UPDATED”,
HEADER,128-749,X(622),AN,,not_used,,Not Used,
HEADER,750-750,X(01),AN,,end_of_the_header_record,,Literally “A”; indicates the end of the header record,
A,001-002,X(02),AN,,transaction_code,,"TRANSACTION CODE
Values include:
“GC” = GCUS (Brokerage)
“M1” = GCS1 (Bank Custody)",
A,003-003,X(01),AN,,record_indicator_value,,RECORD INDICATOR VALUE = “A”,
A,004-011,9(08),N,,record_id_sequence_number,,"RECORD ID SEQUENCE NUMBER
Begins with “00000001”",
A,012-020,X(9),AN,,account_number,,"ACCOUNT NUMBER
Including Office (3), 
Base Account (5), 
Check Digit (1)",
A,021-021,X(01),AN,,account_type,,"ACCOUNT TYPE
“0” = Cash on Delivery
“1” = Cash/Principal Accounting for Bank Custody
“2” = Margin
“3” = Short
“8” = Precious Metals
“9” = Income/Income Accounting for Bank Custody",
A,022-030,X(09),AN,,cusip_number,,CUSIP  NUMBER,
A,031-033,X(03),AN,,portfolio_currency,,"PORTFOLIO CURRENCY
Populated only for Bank Custody accounts; 
For Brokerage accounts, this field will be spaces",
A,034-034,X(01),AN,,not_used,,Not Used,
A,035-043,X(09),AN,,underlying_cusip_number,,UNDERLYING CUSIP NUMBER,
