record_name,position,picture,type,conditional_changes,field_name,scale,description,notes
HEADER,001-018,X(18),AN,,not_used,,Literally “BOFPERSHING” (beginning of Pershing file),
HEADER,019-036,X(18),AN,,not_used,,Literally “SCHEDULED INSTRU”,
HEADER,037-046,X(10),AN,,not_used,,Literally “DATA OF”,
HEADER,047-056,X(10),AN,,date_of_data,,DATE OF DATA = “MM/DD/CCYY” format,
HEADER,057-067,X(11),AN,,not_used,,Literally “TO REMOTE”,
HEADER,068-071,X(04),AN,,remote_id,,REMOTE ID = “XXX”,
HEADER,072-085,X(14),AN,,not_used,,Literally “BEGINS HERE”,
HEADER,086-095,X(10),AN,,run_date,,RUN DATE = “MM/DD/CCYY” format,
HEADER,096-096,X(01),AN,,not_used,,Not Used,
HEADER,097-104,X(08),AN,,run_time,,RUN TIME = “HH:MM:SS” format,
HEADER,105-749,X(645),AN,,not_used,,Not Used,
HEADER,750-750,X(01),AN,,not_used,,RECORD DELIMITER = “A”; indicates end of the header record,
A,001-002,X(02),AN,,transaction_code,,TRANSACTION CODE = “S1”,
A,003-003,X(01),AN,,record_indicator_value,,RECORD INDICATOR VALUE = “A”,
A,004-011,9(08),N,,record_id_sequence_number,,RECORD ID SEQUENCE NUMBER; begins with “00000001”,
A,012-020,X(09),AN,,account_number,,"ACCOUNT NUMBER, including Office (3), Base Account (5), Check Digit (1)",
A,021-021,X(01),AN,,not_used,,Not Used,
A,022-024,X(03),AN,,introducing_broker_dealer_ibd_number,,INTRODUCING BROKER DEALER (IBD) NUMBER,
A,025-025,X(01),AN,,not_used,,Not Used,
A,026-029,X(04),AN,,investment_professional_ip_number,,"INVESTMENT PROFESSIONAL (IP) NUMBER; NOTE: For three-character IP Numbers position 29 will be “”, effective Q4 2023.",
A,030-031,X(02),AN,,instruction_type,,"INSTRUCTION TYPE; values include:
“EC” = Employer Contribution
“EX” = Exchange
“MF” = Mutual Fund Allocation
“PB” = Buy
“PS” = Redeem",
A,032-032,X(01),AN,,frequency_of_instruction,,"FREQUENCY OF INSTRUCTION; values include:
“A” = Annually
“B” = Bi-monthly
“M” = Monthly
“Q” = Quarterly
“S” = Semi-annually“
” = Not applicable",
A,033-033,X(01),AN,,amount_or_percentage_or_share_indicator,,"AMOUNT or PERCENTAGE or SHARE INDICATOR; values include:
“A” = Amount
“P” = Percent
“S” = Share",
A,034-051,9(16)v9(02),N,,transaction_amount,,"TRANSACTION AMOUNT; required if Amount, Percentage, or Share Indicator in position 033 is “A”",
A,052-052,X(01),AN,,transaction_amount_sign,,"TRANSACTION AMOUNT SIGN; values include:
“+” = Credit amount
“-” = Debit amount
“” = Not applicable",
A,053-070,9(13)v9(05),N,,transaction_quantity,,"TRANSACTION QUANTITY; required if Amount, Percentage, or Share Indicator in position 033 above, is “S”",
A,071-071,X(01),AN,,transaction_quantity_sign,,"TRANSACTION QUANTITY SIGN; values include:
“+” = Positive quantity
“-” = Negative quantity
“” = Not applicable",
A,072-080,X(09),AN,,cusip_associated_with_transaction,,CUSIP ASSOCIATED WITH TRANSACTION; for Buys and Sells only),
A,081-084,X(04),AN,,not_used,,Reserved,
A,085-100,X(16),AN,,symbol_associated_with_transaction,,SYMBOL ASSOCIATED WITH TRANSACTION; for Buys and Sells only,
A,101-103,9(03),N,,transaction_percentage,,"TRANSACTION PERCENTAGE; required if Amount, Percentage, or Share Indicator in position 033 above, is “P”",
A,104-150,X(47),AN,,not_used,,Reserved,
